ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
13102,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.47898,-99.21940,1,Postes_C5
13103,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.47913,-99.21678,1,Postes_C5
13104,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.47766,-99.21442,1,Postes_C5
13105,SAN SEBASTIAN,AZCAPOTZALCO,19.48188,-99.17851,1,Postes_C5
13106,SAN SEBASTIAN,AZCAPOTZALCO,19.48116,-99.18142,1,Postes_C5
13107,SANTA APOLONIA,AZCAPOTZALCO,19.47345,-99.19174,1,Postes_C5
13108,SANTA APOLONIA,AZCAPOTZALCO,19.47251,-99.19484,1,Postes_C5
13109,SANTA BARBARA,AZCAPOTZALCO,19.49744,-99.18011,1,Postes_C5
13110,SANTA CRUZ ACAYUCAN,AZCAPOTZALCO,19.47573,-99.19471,1,Postes_C5
13111,JARDINES DE CEYLAN,AZCAPOTZALCO,19.48235,-99.16398,1,Postes_C5
13112,JARDINES DE CEYLAN,AZCAPOTZALCO,19.48192,-99.16528,1,Postes_C5
13113,SANTA LUCIA,AZCAPOTZALCO,19.47536,-99.19929,1,Postes_C5
13114,SANTIAGO AHUIZOTLA,AZCAPOTZALCO,19.47852,-99.21063,1,Postes_C5
13115,SANTIAGO AHUIZOTLA,AZCAPOTZALCO,19.47652,-99.21048,1,Postes_C5
13116,MIGUEL HIDALGO,AZCAPOTZALCO,19.49184,-99.19705,1,Postes_C5
13117,TRABAJADORES DE HIERRO,AZCAPOTZALCO,19.47726,-99.15023,1,Postes_C5
13118,TRABAJADORES DE HIERRO,AZCAPOTZALCO,19.47878,-99.15347,1,Postes_C5
13119,TRABAJADORES DE HIERRO,AZCAPOTZALCO,19.47862,-99.15157,1,Postes_C5
13136,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.38659,-99.26567,1,Postes_C5
13137,DANIEL GARZA 2159,MIGUEL HIDALGO,19.40802,-99.19422,1,Postes_C5
13138,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,19.35366,-99.28975,1,Postes_C5
13139,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,19.35114,-99.29281,1,Postes_C5
13140,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.39526,-99.25959,1,Postes_C5
